Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension,Dataset_Distribution,trial,vectorization,sample_size,min_cluster_size_ratio,min_cluster_size,min_samples,min_samples_ratio,tfidf_weight,pca_components,clustering_mode
Combined,39060,35,27109,69.40348182283667,341.45714285714286,0.33315337273254525,16,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",71,hybrid,400,0.04,16,16,1.0,0.7,16,combined
Combined,46737,19,39515,84.54757472666195,380.10526315789474,0.3158438566207417,16,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",72,hybrid,500,0.06,30,30,1.0,0.5,16,combined
Combined,46737,15,44598,95.42332627254638,142.6,0.2371177226305008,32,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",73,dense,500,0.03,15,10,0.7,,32,combined
Combined,12093,336,5749,47.5398991151906,18.88095238095238,0.22019004189475172,48,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",74,hybrid,100,0.04,5,2,0.5,0.9,48,combined
Combined,21736,690,11986,55.14354066985646,14.130434782608695,0.48081772642918497,48,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",75,tfidf,200,0.02,5,3,0.7,,48,combined
Combined,39060,124,18746,47.99283154121864,163.82258064516128,0.323004037818073,48,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",76,hybrid,400,0.05,20,20,1.0,0.9,48,combined
Combined,39060,3,27987,71.65130568356375,3691.0,-0.05481771007180214,16,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",77,dense,400,0.03,12,6,0.5,,16,combined
Combined,39060,13,37286,95.45826932923707,136.46153846153845,0.2367011457681656,32,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",78,dense,400,0.03,12,12,1.0,,32,combined
Combined,30553,116,18226,59.65371649265211,106.26724137931035,0.5367976589188994,16,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",79,tfidf,300,0.06,18,18,1.0,,16,combined
Combined,30553,58,25394,83.1145877655222,88.94827586206897,0.19474440867440673,16,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",80,hybrid,300,0.03,9,4,0.5,0.5,16,combined
